sid,name,cname
sh600237,铜峰电子,皖江区域
sh600255,鑫科材料,皖江区域
sh600318,新力金融,皖江区域
sh600418,江淮汽车,皖江区域
sh600444,国机通用,皖江区域
sh600470,六国化工,皖江区域
sh600496,精工钢构,皖江区域
sh600551,时代出版,皖江区域
sh600567,山鹰纸业,皖江区域
sh600575,皖江物流,皖江区域
sh600577,精达股份,皖江区域
sh600585,海螺水泥,皖江区域
sh600761,安徽合力,皖江区域
sh600808,马钢股份,皖江区域
sh600983,惠而浦,皖江区域
sh600985,XD雷鸣科,皖江区域
sh600990,四创电子,皖江区域
sh601801,皖新传媒,皖江区域
sz000153,丰原药业,皖江区域
sz000409,山东地矿,皖江区域
sz000417,合肥百货,皖江区域
sz000521,美菱电器,皖江区域
sz000543,皖能电力,皖江区域
sz000619,海螺型材,皖江区域
sz000630,铜陵有色,皖江区域
sz000713,丰乐种业,皖江区域
sz000728,国元证券,皖江区域
sz000850,华茂股份,皖江区域
sz000859,国风塑业,皖江区域
sz000868,安凯客车,皖江区域
sz000887,中鼎股份,皖江区域
sz000979,中弘股份,皖江区域
sz000980,金马股份,皖江区域
sz002018,华信国际,皖江区域
sz002057,中钢天源,皖江区域
sz002136,"安 纳 达",皖江区域
sz002140,东华科技,皖江区域
sz002147,新光圆成,皖江区域
sz002171,楚江新材,皖江区域
sz002208,合肥城建,皖江区域
sz002226,江南化工,皖江区域
sz002230,科大讯飞,皖江区域
sz002298,中电鑫龙,皖江区域
sz002331,皖通科技,皖江区域
sz002347,泰尔重工,皖江区域
sz002352,鼎泰新材,皖江区域
sz002361,神剑股份,皖江区域
sz002538,司尔特,皖江区域
sz002541,鸿路钢构,皖江区域
sz002555,三七互娱,皖江区域
sz002556,辉隆股份,皖江区域
sz002557,洽洽食品,皖江区域
sz002571,德力股份,皖江区域
sz002597,金禾实业,皖江区域
sz002607,亚夏汽车,皖江区域
sz300009,安科生物,皖江区域
sz300087,荃银高科,皖江区域
sz300088,长信科技,皖江区域
sz300090,盛运环保,皖江区域
sz300218,安利股份,皖江区域
sz300247,乐金健康,皖江区域
sz300274,阳光电源,皖江区域
sh600054,黄山旅游,含B股
sh600094,大名城,含B股
sh600190,锦州港,含B股
sh600221,海南航空,含B股
sh600272,开开实业,含B股
sh600295,鄂尔多斯,含B股
sh600320,振华重工,含B股
